"","original_code","code_level","code","sector","borderline"
"244","Manufactured of prepared meals and dishes",5,10750,"not in scope",FALSE
"245","Manufacture of food supplements from herbs and other plants",5,10760,"not in scope",FALSE
"246","Coffee roasting and processing",5,10770,"not in scope",FALSE
"247","Manufacture of herb from drying and further extraction ( e.g. banaba, ampalaya, moringa (malunggay), sambong, lagundi etc.)",5,10791,"not in scope",FALSE
"248","Manufacture of ice, except dry ice",5,10792,"not in scope",FALSE
"249","Manufacture of soup containing meat, fish, crustaceans, mollusks or pasta",5,10793,"not in scope",FALSE
"250","Manufature of infant or dietetic foods containing homogenized ingredients",5,10794,"not in scope",FALSE
"251","Egg processing including fertilized egg (balut) and salted eggs",5,10795,"not in scope",FALSE
"252","Manufacture of flavoring extracts and food coloring",5,10796,"not in scope",FALSE
"253","Manufacture of mayonnaise, salad dressing, sandwich spread and similar products",5,10797,"not in scope",FALSE
"254","Manufacture of vinegar",5,10798,"not in scope",FALSE
"255","Manufacture of food products, n.e.c.",5,10799,"not in scope",FALSE
"256","Manufacture of prepared animal feeds",5,10800,"not in scope",FALSE
"257","Distilling, rectifying and blending of spirits",5,11010,"not in scope",FALSE
"258","Fruit wine manufacturing",5,11021,"not in scope",FALSE
"259","Wine manufacturing, n.e.c.",5,11029,"not in scope",FALSE
"260","Manufacture of malt liquors and malt",5,11030,"not in scope",FALSE
"261","Manufacture of soft drinks except drinks flavored with fruit juices, syrups or other materials",5,11041,"not in scope",FALSE
"262","Manufacture of drinks flavored with fruit juices, syrups or other materials",5,11042,"not in scope",FALSE
"263","Manufacture of bottled water",5,11051,"not in scope",FALSE
"264","Manufacture of carbonated water",5,11052,"not in scope",FALSE
"265","Manufacture of sports and energy drink",5,11060,"not in scope",FALSE
"266","Manufacture of other beverages, n.e.c.",5,11090,"not in scope",FALSE
"267","Manufacture of cigarettes",5,12010,"not in scope",FALSE
"268","Manufacture of cigars",5,12020,"not in scope",FALSE
"269","Manufacture of chewing and smoking tobacco, snuff",5,12030,"not in scope",FALSE
"270","Curing and redrying tobacco leaves",5,12040,"not in scope",FALSE
"271","Tobacco manufacturing, n.e.c.",5,12090,"not in scope",FALSE
"272","Spinning",5,13111,"not in scope",FALSE
"273","Texturizing",5,13112,"not in scope",FALSE
"274","Manufacture of paper yarn",5,13113,"not in scope",FALSE
